epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,81.9559,0.819,0.50121,1.07888,0.98346,0.99094,0.99402,0.73394,0.91439,0.48626,1.05475,0.0011684,0.0011684,0.0011684
44,83.7246,0.85984,0.51247,1.09657,1,0.96632,0.98543,0.75891,0.87854,0.53348,1.02227,0.0011486,0.0011486,0.0011486
45,85.6292,0.84497,0.50593,1.08161,0.99976,1,0.995,0.77379,0.84471,0.44812,1.01034,0.0011288,0.0011288,0.0011288
46,87.488,0.79822,0.48393,1.06863,1,0.99953,0.995,0.77777,0.81488,0.41077,1.00649,0.001109,0.001109,0.001109
47,89.5286,0.83793,0.50266,1.0952,1,0.99849,0.995,0.77899,0.81064,0.43822,1.02207,0.0010892,0.0010892,0.0010892
48,91.319,0.82895,0.50003,1.06963,0.99875,1,0.995,0.79291,0.75026,0.39236,1.00126,0.0010694,0.0010694,0.0010694
49,93.1452,0.73962,0.47461,1.04435,0.9988,1,0.995,0.77255,0.77609,0.40788,0.99778,0.0010496,0.0010496,0.0010496
50,95.105,0.7839,0.49315,1.06091,0.99861,1,0.995,0.77848,0.77291,0.4027,0.98283,0.0010298,0.0010298,0.0010298
51,96.9673,0.82632,0.49591,1.08151,0.98099,0.96667,0.98685,0.75784,0.8101,0.45961,0.99079,0.00101,0.00101,0.00101
52,98.8214,0.78443,0.46094,1.05202,1,0.99973,0.995,0.78597,0.82532,0.40617,1.00242,0.0009902,0.0009902,0.0009902
53,100.558,0.81171,0.47884,1.0506,1,0.99949,0.995,0.78559,0.82558,0.40324,1.02183,0.0009704,0.0009704,0.0009704
54,102.32,0.81068,0.48194,1.06845,0.99939,1,0.995,0.7774,0.81391,0.40573,1.006,0.0009506,0.0009506,0.0009506
55,104.131,0.82156,0.49911,1.06599,0.99938,1,0.995,0.79539,0.78694,0.39888,1.00351,0.0009308,0.0009308,0.0009308
56,105.97,0.78015,0.45277,1.05577,1,0.99472,0.995,0.76509,0.81275,0.42744,1.00332,0.000911,0.000911,0.000911
57,108.104,0.76933,0.4558,1.0506,0.9988,1,0.995,0.75789,0.82027,0.41321,1.00747,0.0008912,0.0008912,0.0008912
58,110.386,0.75421,0.46456,1.05927,0.99909,1,0.995,0.80076,0.79514,0.37816,0.9984,0.0008714,0.0008714,0.0008714
59,112.312,0.77309,0.45625,1.0435,0.99911,1,0.995,0.80292,0.78562,0.39696,0.97975,0.0008516,0.0008516,0.0008516
60,114.187,0.7589,0.45174,1.03926,0.98327,0.98333,0.98046,0.78146,0.82019,0.37946,1.01078,0.0008318,0.0008318,0.0008318
61,116.098,0.77542,0.45153,1.05196,1,0.99947,0.995,0.79442,0.77696,0.36603,0.9892,0.000812,0.000812,0.000812
62,118.218,0.77089,0.44598,1.04208,1,0.99882,0.995,0.79735,0.75825,0.35242,0.97733,0.0007922,0.0007922,0.0007922
63,120.524,0.73692,0.43798,1.03922,0.98314,0.98333,0.9827,0.79622,0.78074,0.36069,1.00097,0.0007724,0.0007724,0.0007724
64,122.402,0.75941,0.43154,1.05268,0.9992,1,0.995,0.80061,0.77994,0.35863,0.98519,0.0007526,0.0007526,0.0007526
65,124.531,0.68805,0.42104,1.01291,0.99898,1,0.995,0.79648,0.77442,0.36605,0.98119,0.0007328,0.0007328,0.0007328
66,126.965,0.73889,0.41153,1.022,0.99881,1,0.995,0.79477,0.80548,0.36403,1.0022,0.000713,0.000713,0.000713
67,128.916,0.72926,0.4288,1.03754,0.99896,1,0.995,0.80294,0.79546,0.37365,0.98866,0.0006932,0.0006932,0.0006932
68,131.038,0.72051,0.42187,1.03852,0.99872,1,0.995,0.81971,0.78156,0.37039,0.98634,0.0006734,0.0006734,0.0006734
69,133.276,0.72268,0.44063,1.04171,0.99937,1,0.995,0.81626,0.76203,0.35548,0.9785,0.0006536,0.0006536,0.0006536
70,135.238,0.72307,0.43226,1.02419,0.99969,1,0.995,0.8085,0.75149,0.35223,0.96758,0.0006338,0.0006338,0.0006338
71,137.418,0.73651,0.41962,1.05374,0.99987,1,0.995,0.81608,0.75377,0.34523,0.97021,0.000614,0.000614,0.000614
72,139.482,0.71904,0.42595,1.0272,1,0.99922,0.995,0.81325,0.7473,0.35006,0.96159,0.0005942,0.0005942,0.0005942
73,141.688,0.71691,0.42816,1.03434,0.98332,0.98251,0.9801,0.80939,0.76331,0.37819,0.96706,0.0005744,0.0005744,0.0005744
74,143.603,0.71574,0.42656,1.02434,0.98332,0.98247,0.98395,0.80932,0.76967,0.35495,0.97087,0.0005546,0.0005546,0.0005546
75,145.581,0.70802,0.41567,1.00677,1,0.99935,0.995,0.8145,0.76298,0.36243,0.96357,0.0005348,0.0005348,0.0005348
76,147.938,0.70502,0.40906,1.02425,1,0.99992,0.995,0.80796,0.77166,0.35402,0.97673,0.000515,0.000515,0.000515
77,150.085,0.67272,0.3931,1.005,1,0.99982,0.995,0.8026,0.76301,0.34922,0.98117,0.0004952,0.0004952,0.0004952
