epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,1564.02,1.35591,0.50025,0.00397,0.88482,0.82533,0.87388,0.51674,1.6418,0.68082,0.00571,0.0001652,0.0001652,0.0001652
184,1572.3,1.42349,0.54815,0.00382,0.89571,0.82369,0.87505,0.51571,1.64316,0.68579,0.00573,0.000156948,0.000156948,0.000156948
185,1581.21,1.3647,0.54762,0.00396,0.89571,0.82369,0.87524,0.5167,1.64505,0.68574,0.00576,0.000148696,0.000148696,0.000148696
186,1590.16,1.38911,0.5357,0.004,0.89788,0.82356,0.87683,0.51395,1.64899,0.68182,0.00578,0.000140445,0.000140445,0.000140445
187,1598.6,1.41286,0.53472,0.00388,0.90223,0.81354,0.87547,0.50976,1.65563,0.67653,0.00582,0.000132193,0.000132193,0.000132193
188,1607.19,1.40032,0.52314,0.00402,0.89658,0.81197,0.87581,0.50999,1.65086,0.678,0.00579,0.000123941,0.000123941,0.000123941
189,1616.13,1.42445,0.53956,0.00408,0.88519,0.81543,0.87426,0.51246,1.64244,0.68427,0.00574,0.00011569,0.00011569,0.00011569
190,1624.48,1.37746,0.53273,0.00382,0.89282,0.81543,0.87529,0.5138,1.63927,0.68781,0.00573,0.000107438,0.000107438,0.000107438
191,1633.43,1.29649,0.49687,0.00427,0.89276,0.81818,0.87397,0.51226,1.6439,0.67454,0.00574,9.91865e-05,9.91865e-05,9.91865e-05
192,1642.34,1.30708,0.51771,0.00432,0.88875,0.81429,0.87068,0.51306,1.64936,0.67118,0.00576,9.09349e-05,9.09349e-05,9.09349e-05
193,1650.85,1.35558,0.52009,0.00423,0.89818,0.80441,0.86904,0.51211,1.65233,0.67617,0.00578,8.26832e-05,8.26832e-05,8.26832e-05
194,1659.41,1.345,0.50066,0.00416,0.8589,0.82645,0.86494,0.51063,1.65494,0.68226,0.00579,7.44316e-05,7.44316e-05,7.44316e-05
195,1668.31,1.32464,0.50625,0.00419,0.89711,0.80441,0.87129,0.51165,1.66012,0.6823,0.00581,6.61799e-05,6.61799e-05,6.61799e-05
196,1676.97,1.3537,0.49661,0.00424,0.86847,0.81818,0.87213,0.51096,1.6623,0.6857,0.00583,5.79283e-05,5.79283e-05,5.79283e-05
197,1685.02,1.2879,0.52087,0.00418,0.89829,0.81543,0.87241,0.51191,1.65993,0.68067,0.00581,4.96766e-05,4.96766e-05,4.96766e-05
198,1693.73,1.34412,0.49001,0.00423,0.90377,0.80165,0.87342,0.51285,1.6541,0.6795,0.00578,4.1425e-05,4.1425e-05,4.1425e-05
199,1702.48,1.27845,0.48504,0.00426,0.89021,0.81543,0.87392,0.51331,1.65176,0.674,0.00576,3.31733e-05,3.31733e-05,3.31733e-05
200,1711.26,1.31517,0.47837,0.00426,0.90973,0.80441,0.8741,0.5133,1.65361,0.67412,0.00577,2.49217e-05,2.49217e-05,2.49217e-05
