epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.134,1.94352,3.80006,0.00869,0.00539,0.04959,0.00024,0.00014,1.88166,3.80086,0.00838,0.000505152,0.000505152,0.000505152
2,19.2454,1.72761,2.98643,0.00668,0.03427,0.5427,0.04542,0.02689,1.73582,3.6162,0.00668,0.00105557,0.00105557,0.00105557
3,23.4615,1.8037,2.24301,0.00645,0.03246,0.64187,0.23994,0.13828,1.78065,3.13348,0.00697,0.00160048,0.00160048,0.00160048
4,27.7777,1.77204,1.89495,0.0063,0.05114,0.70248,0.47385,0.27271,1.85451,2.41842,0.00717,0.00164225,0.00164225,0.00164225
5,32.4164,1.89176,1.60423,0.00623,0.71807,0.25895,0.44706,0.22789,1.9026,2.17442,0.00742,0.00163399,0.00163399,0.00163399
6,37.2646,1.84412,1.48557,0.0061,0.32592,0.33566,0.24908,0.10887,1.80509,2.01693,0.00685,0.00162574,0.00162574,0.00162574
7,41.272,1.8048,1.51667,0.00623,0.39537,0.49862,0.35985,0.15012,1.90035,1.66963,0.00724,0.00161749,0.00161749,0.00161749
8,45.7021,1.82814,1.38542,0.00601,0.53171,0.50413,0.53623,0.27017,1.85129,1.43129,0.00718,0.00160924,0.00160924,0.00160924
